home,away,score,year
Краснодар,Рубин,3 : 1,2020/2021
Краснодар,Сочи,1 : 3,2020/2021
Краснодар,ЦСКА,1 : 1,2020/2021
Краснодар,Динамо М,2 : 3,2020/2021
Краснодар,Химки,7 : 2,2020/2021
Краснодар,Ростов,1 : 1,2020/2021
Краснодар,Ахмат,0 : 5,2020/2021
Краснодар,Урал,2 : 2,2020/2021
Краснодар,Уфа,1 : 0,2020/2021
Краснодар,Арсенал,2 : 0,2020/2021
Краснодар,Ротор,5 : 0,2020/2021
Краснодар,Тамбов,1 : 0,2020/2021
Ахмат,Зенит,2 : 2,2020/2021
Ахмат,Спартак М,2 : 2,2020/2021
Ахмат,Локомотив М,0 : 0,2020/2021
Ахмат,Рубин,0 : 0,2020/2021
Ахмат,Сочи,0 : 1,2020/2021
Ахмат,ЦСКА,0 : 3,2020/2021
Ахмат,Динамо М,1 : 2,2020/2021
Ахмат,Химки,3 : 1,2020/2021
Ахмат,Ростов,0 : 1,2020/2021
Ахмат,Краснодар,2 : 0,2020/2021
Ахмат,Урал,2 : 0,2020/2021
Ахмат,Уфа,3 : 1,2020/2021
Ахмат,Арсенал,2 : 0,2020/2021
Ахмат,Ротор,3 : 1,2020/2021
Ахмат,Тамбов,3 : 1,2020/2021
Урал,Зенит,1 : 1,2020/2021
Урал,Спартак М,2 : 2,2020/2021
Урал,Локомотив М,1 : 1,2020/2021
Урал,Рубин,0 : 1,2020/2021
Урал,Сочи,1 : 0,2020/2021
Урал,ЦСКА,0 : 2,2020/2021
Урал,Динамо М,0 : 2,2020/2021
Урал,Химки,3 : 1,2020/2021
Урал,Ростов,1 : 0,2020/2021
Урал,Краснодар,1 : 0,2020/2021
Урал,Ахмат,1 : 1,2020/2021
Урал,Уфа,0 : 0,2020/2021
Урал,Арсенал,2 : 0,2020/2021
Урал,Ротор,1 : 0,2020/2021
Урал,Тамбов,0 : 0,2020/2021
Уфа,Зенит,0 : 0,2020/2021
Уфа,Спартак М,1 : 1,2020/2021
Уфа,Локомотив М,0 : 1,2020/2021
Уфа,Рубин,0 : 3,2020/2021
Уфа,Сочи,2 : 3,2020/2021
Уфа,ЦСКА,0 : 1,2020/2021
Уфа,Динамо М,1 : 1,2020/2021
Уфа,Химки,1 : 2,2020/2021
Уфа,Ростов,0 : 1,2020/2021
Уфа,Краснодар,0 : 3,2020/2021
Уфа,Ахмат,3 : 0,2020/2021
Уфа,Урал,1 : 2,2020/2021
Уфа,Арсенал,2 : 1,2020/2021
Уфа,Ротор,0 : 0,2020/2021
Уфа,Тамбов,4 : 0,2020/2021
Арсенал,Зенит,0 : 0,2020/2021
Арсенал,Спартак М,1 : 2,2020/2021
Арсенал,Локомотив М,0 : 3,2020/2021
Арсенал,Рубин,2 : 4,2020/2021
Арсенал,Сочи,3 : 2,2020/2021
Арсенал,ЦСКА,2 : 1,2020/2021
Арсенал,Динамо М,2 : 0,2020/2021
Арсенал,Химки,1 : 1,2020/2021
Арсенал,Ростов,2 : 3,2020/2021
Арсенал,Краснодар,1 : 0,2020/2021
Арсенал,Ахмат,0 : 0,2020/2021
Арсенал,Урал,1 : 0,2020/2021
Арсенал,Уфа,2 : 3,2020/2021
Арсенал,Ротор,1 : 1,2020/2021
Арсенал,Тамбов,4 : 0,2020/2021
Ротор,Зенит,0 : 2,2020/2021
Ротор,Спартак М,0 : 1,2020/2021
Ротор,Локомотив М,0 : 2,2020/2021
Ротор,Рубин,1 : 3,2020/2021
Ротор,Сочи,1 : 2,2020/2021
Ротор,ЦСКА,0 : 1,2020/2021
Ротор,Динамо М,0 : 3,2020/2021
Ротор,Химки,0 : 0,2020/2021
Ротор,Ростов,0 : 4,2020/2021
Ротор,Краснодар,0 : 3,2020/2021
Ротор,Ахмат,1 : 0,2020/2021
