home,away,score,year
Крылья Советов,Сочи,3 : 0,2015/2016
Крылья Советов,Ахмат,2 : 4,2015/2016
Крылья Советов,Тамбов,2 : 0,2015/2016
Крылья Советов,Оренбург,1 : 1,2015/2016
Оренбург,Зенит,0 : 2,2015/2016
Оренбург,Локомотив М,2 : 3,2015/2016
Оренбург,Краснодар,0 : 3,2015/2016
Оренбург,ЦСКА,0 : 4,2015/2016
Оренбург,Ростов,0 : 0,2015/2016
Оренбург,Динамо М,2 : 0,2015/2016
Оренбург,Спартак М,1 : 3,2015/2016
Оренбург,Арсенал,2 : 0,2015/2016
Оренбург,Уфа,0 : 0,2015/2016
Оренбург,Рубин,2 : 1,2015/2016
Оренбург,Урал,0 : 3,2015/2016
Оренбург,Сочи,1 : 1,2015/2016
Оренбург,Ахмат,1 : 2,2015/2016
Оренбург,Тамбов,2 : 2,2015/2016
Оренбург,Крылья Советов,0 : 1,2015/2016
Зенит,Локомотив М,0 : 0,2014/2015
Зенит,Краснодар,1 : 1,2014/2015
Зенит,ЦСКА,1 : 1,2014/2015
Зенит,Ростов,6 : 1,2014/2015
Зенит,Динамо М,3 : 0,2014/2015
Зенит,Спартак М,1 : 0,2014/2015
Зенит,Арсенал,3 : 1,2014/2015
Зенит,Уфа,0 : 0,2014/2015
Зенит,Рубин,5 : 0,2014/2015
Зенит,Урал,7 : 1,2014/2015
Зенит,Сочи,2 : 1,2014/2015
Зенит,Ахмат,0 : 0,2014/2015
Зенит,Тамбов,2 : 1,2014/2015
Зенит,Крылья Советов,2 : 1,2014/2015
Зенит,Оренбург,4 : 1,2014/2015
Локомотив М,Зенит,1 : 0,2014/2015
Локомотив М,Краснодар,1 : 1,2014/2015
Локомотив М,ЦСКА,2 : 1,2014/2015
Локомотив М,Ростов,1 : 2,2014/2015
Локомотив М,Динамо М,1 : 2,2014/2015
Локомотив М,Спартак М,0 : 3,2014/2015
Локомотив М,Арсенал,2 : 1,2014/2015
Локомотив М,Уфа,1 : 1,2014/2015
Локомотив М,Рубин,1 : 1,2014/2015
Локомотив М,Урал,4 : 0,2014/2015
Локомотив М,Сочи,0 : 0,2014/2015
Локомотив М,Ахмат,1 : 0,2014/2015
Локомотив М,Тамбов,2 : 1,2014/2015
Локомотив М,Крылья Советов,1 : 1,2014/2015
Локомотив М,Оренбург,1 : 0,2014/2015
Краснодар,Зенит,2 : 4,2014/2015
Краснодар,Локомотив М,1 : 1,2014/2015
Краснодар,ЦСКА,1 : 1,2014/2015
Краснодар,Ростов,2 : 2,2014/2015
Краснодар,Динамо М,0 : 2,2014/2015
Краснодар,Спартак М,2 : 1,2014/2015
Краснодар,Арсенал,2 : 0,2014/2015
Краснодар,Уфа,2 : 0,2014/2015
Краснодар,Рубин,1 : 0,2014/2015
Краснодар,Урал,3 : 0,2014/2015
Краснодар,Сочи,3 : 0,2014/2015
Краснодар,Ахмат,4 : 0,2014/2015
Краснодар,Тамбов,0 : 0,2014/2015
Краснодар,Крылья Советов,4 : 2,2014/2015
Краснодар,Оренбург,1 : 1,2014/2015
ЦСКА,Зенит,0 : 4,2014/2015
ЦСКА,Локомотив М,1 : 0,2014/2015
ЦСКА,Краснодар,3 : 2,2014/2015
ЦСКА,Ростов,1 : 3,2014/2015
ЦСКА,Динамо М,0 : 1,2014/2015
ЦСКА,Спартак М,2 : 0,2014/2015
ЦСКА,Арсенал,0 : 1,2014/2015
ЦСКА,Уфа,0 : 0,2014/2015
ЦСКА,Рубин,1 : 1,2014/2015
ЦСКА,Урал,1 : 1,2014/2015
ЦСКА,Сочи,0 : 0,2014/2015
ЦСКА,Ахмат,3 : 0,2014/2015
ЦСКА,Тамбов,2 : 0,2014/2015
ЦСКА,Крылья Советов,1 : 0,2014/2015
ЦСКА,Оренбург,2 : 1,2014/2015
Ростов,Зенит,1 : 2,2014/2015
Ростов,Локомотив М,1 : 3,2014/2015
Ростов,Краснодар,1 : 1,2014/2015
Ростов,ЦСКА,3 : 2,2014/2015
Ростов,Динамо М,3 : 0,2014/2015
Ростов,Спартак М,2 : 2,2014/2015
Ростов,Арсенал,2 : 1,2014/2015
Ростов,Уфа,1 : 2,2014/2015
Ростов,Рубин,2 : 1,2014/2015
Ростов,Урал,0 : 0,2014/2015
Ростов,Сочи,2 : 0,2014/2015
Ростов,Ахмат,2 : 1,2014/2015
Ростов,Тамбов,1 : 2,2014/2015
Ростов,Крылья Советов,1 : 0,2014/2015
Ростов,Оренбург,2 : 1,2014/2015
Динамо М,Зенит,0 : 2,2014/2015
Динамо М,Локомотив М,1 : 2,2014/2015
Динамо М,Краснодар,1 : 1,2014/2015
Динамо М,ЦСКА,0 : 0,2014/2015
Динамо М,Ростов,2 : 1,2014/2015
Динамо М,Спартак М,0 : 2,2014/2015
Динамо М,Арсенал,0 : 1,2014/2015
Динамо М,Уфа,0 : 0,2014/2015
Динамо М,Рубин,0 : 1,2014/2015
Динамо М,Урал,2 : 0,2014/2015
Динамо М,Сочи,2 : 3,2014/2015
Динамо М,Ахмат,1 : 1,2014/2015
Динамо М,Тамбов,1 : 0,2014/2015
Динамо М,Крылья Советов,2 : 0,2014/2015
Динамо М,Оренбург,0 : 1,2014/2015
Спартак М,Зенит,0 : 1,2014/2015
Спартак М,Локомотив М,1 : 1,2014/2015
Спартак М,Краснодар,0 : 1,2014/2015
Спартак М,ЦСКА,2 : 1,2014/2015
Спартак М,Ростов,1 : 4,2014/2015
Спартак М,Динамо М,0 : 0,2014/2015
Спартак М,Арсенал,0 : 1,2014/2015
Спартак М,Уфа,0 : 0,2014/2015
Спартак М,Рубин,0 : 0,2014/2015
Спартак М,Урал,1 : 2,2014/2015
Спартак М,Сочи,1 : 0,2014/2015
Спартак М,Ахмат,3 : 0,2014/2015
Спартак М,Тамбов,2 : 3,2014/2015
Спартак М,Крылья Советов,2 : 0,2014/2015
Спартак М,Оренбург,1 : 2,2014/2015
Арсенал,Зенит,0 : 1,2014/2015
Арсенал,Локомотив М,4 : 0,2014/2015
Арсенал,Краснодар,1 : 2,2014/2015
Арсенал,ЦСКА,1 : 2,2014/2015
Арсенал,Ростов,2 : 3,2014/2015
Арсенал,Динамо М,1 : 1,2014/2015
Арсенал,Спартак М,2 : 3,2014/2015
Арсенал,Уфа,1 : 0,2014/2015
Арсенал,Рубин,0 : 1,2014/2015
Арсенал,Урал,1 : 1,2014/2015
Арсенал,Сочи,1 : 1,2014/2015
Арсенал,Ахмат,1 : 3,2014/2015
Арсенал,Тамбов,2 : 1,2014/2015
Арсенал,Крылья Советов,2 : 4,2014/2015
Арсенал,Оренбург,2 : 1,2014/2015
Уфа,Зенит,1 : 0,2014/2015
Уфа,Локомотив М,1 : 1,2014/2015
Уфа,Краснодар,2 : 3,2014/2015
Уфа,ЦСКА,1 : 1,2014/2015
Уфа,Ростов,2 : 0,2014/2015
Уфа,Динамо М,0 : 1,2014/2015
Уфа,Спартак М,1 : 0,2014/2015
Уфа,Арсенал,0 : 0,2014/2015
Уфа,Рубин,0 : 0,2014/2015
Уфа,Урал,1 : 1,2014/2015
Уфа,Сочи,1 : 1,2014/2015
Уфа,Ахмат,0 : 1,2014/2015
Уфа,Тамбов,2 : 1,2014/2015
Уфа,Крылья Советов,2 : 1,2014/2015
Уфа,Оренбург,1 : 2,2014/2015
Рубин,Зенит,1 : 2,2014/2015
Рубин,Локомотив М,0 : 2,2014/2015
Рубин,Краснодар,1 : 0,2014/2015
Рубин,ЦСКА,0 : 1,2014/2015
Рубин,Ростов,0 : 0,2014/2015
Рубин,Динамо М,0 : 1,2014/2015
Рубин,Спартак М,1 : 2,2014/2015
Рубин,Арсенал,1 : 0,2014/2015
Рубин,Уфа,0 : 0,2014/2015
Рубин,Урал,0 : 0,2014/2015
Рубин,Сочи,0 : 3,2014/2015
Рубин,Ахмат,1 : 0,2014/2015
Рубин,Тамбов,2 : 1,2014/2015
Рубин,Крылья Советов,0 : 1,2014/2015
Рубин,Оренбург,1 : 0,2014/2015
Урал,Зенит,1 : 3,2014/2015
Урал,Локомотив М,0 : 1,2014/2015
Урал,Краснодар,2 : 4,2014/2015
Урал,ЦСКА,0 : 3,2014/2015
Урал,Ростов,2 : 2,2014/2015
Урал,Динамо М,2 : 1,2014/2015
Урал,Спартак М,0 : 0,2014/2015
Урал,Арсенал,1 : 3,2014/2015
Урал,Уфа,3 : 2,2014/2015
Урал,Рубин,1 : 2,2014/2015
Урал,Сочи,3 : 1,2014/2015
Урал,Ахмат,3 : 0,2014/2015
Урал,Тамбов,2 : 1,2014/2015
Урал,Крылья Советов,1 : 3,2014/2015
Урал,Оренбург,1 : 2,2014/2015
Сочи,Зенит,0 : 2,2014/2015
Сочи,Локомотив М,0 : 1,2014/2015
Сочи,Краснодар,2 : 0,2014/2015
Сочи,ЦСКА,2 : 3,2014/2015
Сочи,Ростов,10 : 1,2014/2015
Сочи,Динамо М,1 : 1,2014/2015
Сочи,Спартак М,1 : 0,2014/2015
Сочи,Арсенал,1 : 2,2014/2015
Сочи,Уфа,0 : 0,2014/2015
Сочи,Рубин,1 : 1,2014/2015
Сочи,Урал,2 : 0,2014/2015
Сочи,Ахмат,2 : 0,2014/2015
Сочи,Тамбов,1 : 2,2014/2015
Сочи,Крылья Советов,0 : 2,2014/2015
Сочи,Оренбург,5 : 1,2014/2015
Ахмат,Зенит,1 : 1,2014/2015
Ахмат,Локомотив М,0 : 2,2014/2015
Ахмат,Краснодар,1 : 0,2014/2015
Ахмат,ЦСКА,0 : 4,2014/2015
Ахмат,Ростов,1 : 1,2014/2015
Ахмат,Динамо М,2 : 3,2014/2015
Ахмат,Спартак М,1 : 3,2014/2015
Ахмат,Арсенал,1 : 1,2014/2015
Ахмат,Уфа,0 : 1,2014/2015
Ахмат,Рубин,1 : 1,2014/2015
Ахмат,Урал,0 : 0,2014/2015
Ахмат,Сочи,1 : 1,2014/2015
Ахмат,Тамбов,1 : 1,2014/2015
Ахмат,Крылья Советов,1 : 1,2014/2015
Ахмат,Оренбург,2 : 1,2014/2015
Тамбов,Зенит,1 : 2,2014/2015
Тамбов,Локомотив М,2 : 3,2014/2015
Тамбов,Краснодар,0 : 2,2014/2015
Тамбов,ЦСКА,0 : 2,2014/2015
Тамбов,Ростов,2 : 1,2014/2015
Тамбов,Динамо М,0 : 2,2014/2015
Тамбов,Спартак М,2 : 0,2014/2015
Тамбов,Арсенал,0 : 1,2014/2015
Тамбов,Уфа,3 : 0,2014/2015
Тамбов,Рубин,0 : 0,2014/2015
Тамбов,Урал,1 : 2,2014/2015
Тамбов,Сочи,3 : 0,2014/2015
Тамбов,Ахмат,1 : 2,2014/2015
Тамбов,Крылья Советов,3 : 0,2014/2015
Тамбов,Оренбург,3 : 0,2014/2015
Крылья Советов,Зенит,0 : 2,2014/2015
Крылья Советов,Локомотив М,1 : 2,2014/2015
Крылья Советов,Краснодар,0 : 0,2014/2015
Крылья Советов,ЦСКА,2 : 0,2014/2015
Крылья Советов,Ростов,0 : 0,2014/2015
Крылья Советов,Динамо М,0 : 0,2014/2015
Крылья Советов,Спартак М,1 : 2,2014/2015
Крылья Советов,Арсенал,2 : 3,2014/2015
Крылья Советов,Уфа,0 : 1,2014/2015
Крылья Советов,Рубин,0 : 0,2014/2015
Крылья Советов,Урал,2 : 3,2014/2015
Крылья Советов,Сочи,3 : 0,2014/2015
Крылья Советов,Ахмат,2 : 4,2014/2015
Крылья Советов,Тамбов,2 : 0,2014/2015
Крылья Советов,Оренбург,1 : 1,2014/2015
Оренбург,Зенит,0 : 2,2014/2015
Оренбург,Локомотив М,2 : 3,2014/2015
Оренбург,Краснодар,0 : 3,2014/2015
Оренбург,ЦСКА,0 : 4,2014/2015
Оренбург,Ростов,0 : 0,2014/2015
Оренбург,Динамо М,2 : 0,2014/2015
Оренбург,Спартак М,1 : 3,2014/2015
Оренбург,Арсенал,2 : 0,2014/2015
Оренбург,Уфа,0 : 0,2014/2015
Оренбург,Рубин,2 : 1,2014/2015
Оренбург,Урал,0 : 3,2014/2015
Оренбург,Сочи,1 : 1,2014/2015
Оренбург,Ахмат,1 : 2,2014/2015
Оренбург,Тамбов,2 : 2,2014/2015
Оренбург,Крылья Советов,0 : 1,2014/2015
Зенит,Локомотив М,0 : 0,2013/2014
Зенит,Краснодар,1 : 1,2013/2014
Зенит,ЦСКА,1 : 1,2013/2014
Зенит,Ростов,6 : 1,2013/2014
Зенит,Динамо М,3 : 0,2013/2014
Зенит,Спартак М,1 : 0,2013/2014
Зенит,Арсенал,3 : 1,2013/2014
Зенит,Уфа,0 : 0,2013/2014
Зенит,Рубин,5 : 0,2013/2014
Зенит,Урал,7 : 1,2013/2014
Зенит,Сочи,2 : 1,2013/2014
Зенит,Ахмат,0 : 0,2013/2014
Зенит,Тамбов,2 : 1,2013/2014
Зенит,Крылья Советов,2 : 1,2013/2014
Зенит,Оренбург,4 : 1,2013/2014
Локомотив М,Зенит,1 : 0,2013/2014
Локомотив М,Краснодар,1 : 1,2013/2014
Локомотив М,ЦСКА,2 : 1,2013/2014
Локомотив М,Ростов,1 : 2,2013/2014
Локомотив М,Динамо М,1 : 2,2013/2014
Локомотив М,Спартак М,0 : 3,2013/2014
Локомотив М,Арсенал,2 : 1,2013/2014
Локомотив М,Уфа,1 : 1,2013/2014
Локомотив М,Рубин,1 : 1,2013/2014
Локомотив М,Урал,4 : 0,2013/2014
Локомотив М,Сочи,0 : 0,2013/2014
Локомотив М,Ахмат,1 : 0,2013/2014
Локомотив М,Тамбов,2 : 1,2013/2014
Локомотив М,Крылья Советов,1 : 1,2013/2014
Локомотив М,Оренбург,1 : 0,2013/2014
Краснодар,Зенит,2 : 4,2013/2014
Краснодар,Локомотив М,1 : 1,2013/2014
Краснодар,ЦСКА,1 : 1,2013/2014
Краснодар,Ростов,2 : 2,2013/2014
Краснодар,Динамо М,0 : 2,2013/2014
Краснодар,Спартак М,2 : 1,2013/2014
Краснодар,Арсенал,2 : 0,2013/2014
Краснодар,Уфа,2 : 0,2013/2014
Краснодар,Рубин,1 : 0,2013/2014
Краснодар,Урал,3 : 0,2013/2014
Краснодар,Сочи,3 : 0,2013/2014
Краснодар,Ахмат,4 : 0,2013/2014
Краснодар,Тамбов,0 : 0,2013/2014
Краснодар,Крылья Советов,4 : 2,2013/2014
Краснодар,Оренбург,1 : 1,2013/2014
ЦСКА,Зенит,0 : 4,2013/2014
ЦСКА,Локомотив М,1 : 0,2013/2014
ЦСКА,Краснодар,3 : 2,2013/2014
ЦСКА,Ростов,1 : 3,2013/2014
ЦСКА,Динамо М,0 : 1,2013/2014
ЦСКА,Спартак М,2 : 0,2013/2014
ЦСКА,Арсенал,0 : 1,2013/2014
ЦСКА,Уфа,0 : 0,2013/2014
ЦСКА,Рубин,1 : 1,2013/2014
ЦСКА,Урал,1 : 1,2013/2014
ЦСКА,Сочи,0 : 0,2013/2014
ЦСКА,Ахмат,3 : 0,2013/2014
ЦСКА,Тамбов,2 : 0,2013/2014
ЦСКА,Крылья Советов,1 : 0,2013/2014
ЦСКА,Оренбург,2 : 1,2013/2014
Ростов,Зенит,1 : 2,2013/2014
Ростов,Локомотив М,1 : 3,2013/2014
Ростов,Краснодар,1 : 1,2013/2014
Ростов,ЦСКА,3 : 2,2013/2014
Ростов,Динамо М,3 : 0,2013/2014
Ростов,Спартак М,2 : 2,2013/2014
Ростов,Арсенал,2 : 1,2013/2014
Ростов,Уфа,1 : 2,2013/2014
Ростов,Рубин,2 : 1,2013/2014
Ростов,Урал,0 : 0,2013/2014
Ростов,Сочи,2 : 0,2013/2014
Ростов,Ахмат,2 : 1,2013/2014
Ростов,Тамбов,1 : 2,2013/2014
Ростов,Крылья Советов,1 : 0,2013/2014
Ростов,Оренбург,2 : 1,2013/2014
Динамо М,Зенит,0 : 2,2013/2014
Динамо М,Локомотив М,1 : 2,2013/2014
Динамо М,Краснодар,1 : 1,2013/2014
Динамо М,ЦСКА,0 : 0,2013/2014
Динамо М,Ростов,2 : 1,2013/2014
Динамо М,Спартак М,0 : 2,2013/2014
Динамо М,Арсенал,0 : 1,2013/2014
Динамо М,Уфа,0 : 0,2013/2014
Динамо М,Рубин,0 : 1,2013/2014
Динамо М,Урал,2 : 0,2013/2014
Динамо М,Сочи,2 : 3,2013/2014
Динамо М,Ахмат,1 : 1,2013/2014
Динамо М,Тамбов,1 : 0,2013/2014
Динамо М,Крылья Советов,2 : 0,2013/2014
Динамо М,Оренбург,0 : 1,2013/2014
Спартак М,Зенит,0 : 1,2013/2014
Спартак М,Локомотив М,1 : 1,2013/2014
Спартак М,Краснодар,0 : 1,2013/2014
Спартак М,ЦСКА,2 : 1,2013/2014
Спартак М,Ростов,1 : 4,2013/2014
Спартак М,Динамо М,0 : 0,2013/2014
Спартак М,Арсенал,0 : 1,2013/2014
Спартак М,Уфа,0 : 0,2013/2014
Спартак М,Рубин,0 : 0,2013/2014
Спартак М,Урал,1 : 2,2013/2014
Спартак М,Сочи,1 : 0,2013/2014
Спартак М,Ахмат,3 : 0,2013/2014
Спартак М,Тамбов,2 : 3,2013/2014
Спартак М,Крылья Советов,2 : 0,2013/2014
Спартак М,Оренбург,1 : 2,2013/2014
Арсенал,Зенит,0 : 1,2013/2014
Арсенал,Локомотив М,4 : 0,2013/2014
Арсенал,Краснодар,1 : 2,2013/2014
Арсенал,ЦСКА,1 : 2,2013/2014
Арсенал,Ростов,2 : 3,2013/2014
Арсенал,Динамо М,1 : 1,2013/2014
Арсенал,Спартак М,2 : 3,2013/2014
Арсенал,Уфа,1 : 0,2013/2014
Арсенал,Рубин,0 : 1,2013/2014
Арсенал,Урал,1 : 1,2013/2014
Арсенал,Сочи,1 : 1,2013/2014
Арсенал,Ахмат,1 : 3,2013/2014
Арсенал,Тамбов,2 : 1,2013/2014
Арсенал,Крылья Советов,2 : 4,2013/2014
Арсенал,Оренбург,2 : 1,2013/2014
Уфа,Зенит,1 : 0,2013/2014
Уфа,Локомотив М,1 : 1,2013/2014
Уфа,Краснодар,2 : 3,2013/2014
Уфа,ЦСКА,1 : 1,2013/2014
Уфа,Ростов,2 : 0,2013/2014
Уфа,Динамо М,0 : 1,2013/2014
Уфа,Спартак М,1 : 0,2013/2014
Уфа,Арсенал,0 : 0,2013/2014
Уфа,Рубин,0 : 0,2013/2014
Уфа,Урал,1 : 1,2013/2014
Уфа,Сочи,1 : 1,2013/2014
Уфа,Ахмат,0 : 1,2013/2014
Уфа,Тамбов,2 : 1,2013/2014
Уфа,Крылья Советов,2 : 1,2013/2014
Уфа,Оренбург,1 : 2,2013/2014
Рубин,Зенит,1 : 2,2013/2014
Рубин,Локомотив М,0 : 2,2013/2014
Рубин,Краснодар,1 : 0,2013/2014
Рубин,ЦСКА,0 : 1,2013/2014
Рубин,Ростов,0 : 0,2013/2014
Рубин,Динамо М,0 : 1,2013/2014
Рубин,Спартак М,1 : 2,2013/2014
Рубин,Арсенал,1 : 0,2013/2014
Рубин,Уфа,0 : 0,2013/2014
Рубин,Урал,0 : 0,2013/2014
Рубин,Сочи,0 : 3,2013/2014
Рубин,Ахмат,1 : 0,2013/2014
Рубин,Тамбов,2 : 1,2013/2014
Рубин,Крылья Советов,0 : 1,2013/2014
Рубин,Оренбург,1 : 0,2013/2014
Урал,Зенит,1 : 3,2013/2014
Урал,Локомотив М,0 : 1,2013/2014
Урал,Краснодар,2 : 4,2013/2014
Урал,ЦСКА,0 : 3,2013/2014
Урал,Ростов,2 : 2,2013/2014
Урал,Динамо М,2 : 1,2013/2014
Урал,Спартак М,0 : 0,2013/2014
Урал,Арсенал,1 : 3,2013/2014
Урал,Уфа,3 : 2,2013/2014
Урал,Рубин,1 : 2,2013/2014
Урал,Сочи,3 : 1,2013/2014
Урал,Ахмат,3 : 0,2013/2014
Урал,Тамбов,2 : 1,2013/2014
Урал,Крылья Советов,1 : 3,2013/2014
Урал,Оренбург,1 : 2,2013/2014
Сочи,Зенит,0 : 2,2013/2014
Сочи,Локомотив М,0 : 1,2013/2014
Сочи,Краснодар,2 : 0,2013/2014
Сочи,ЦСКА,2 : 3,2013/2014
Сочи,Ростов,10 : 1,2013/2014
Сочи,Динамо М,1 : 1,2013/2014
Сочи,Спартак М,1 : 0,2013/2014
Сочи,Арсенал,1 : 2,2013/2014
Сочи,Уфа,0 : 0,2013/2014
Сочи,Рубин,1 : 1,2013/2014
Сочи,Урал,2 : 0,2013/2014
Сочи,Ахмат,2 : 0,2013/2014
Сочи,Тамбов,1 : 2,2013/2014
Сочи,Крылья Советов,0 : 2,2013/2014
Сочи,Оренбург,5 : 1,2013/2014
Ахмат,Зенит,1 : 1,2013/2014
Ахмат,Локомотив М,0 : 2,2013/2014
Ахмат,Краснодар,1 : 0,2013/2014
Ахмат,ЦСКА,0 : 4,2013/2014
Ахмат,Ростов,1 : 1,2013/2014
Ахмат,Динамо М,2 : 3,2013/2014
Ахмат,Спартак М,1 : 3,2013/2014
Ахмат,Арсенал,1 : 1,2013/2014
Ахмат,Уфа,0 : 1,2013/2014
Ахмат,Рубин,1 : 1,2013/2014
Ахмат,Урал,0 : 0,2013/2014
Ахмат,Сочи,1 : 1,2013/2014
Ахмат,Тамбов,1 : 1,2013/2014
Ахмат,Крылья Советов,1 : 1,2013/2014
Ахмат,Оренбург,2 : 1,2013/2014
Тамбов,Зенит,1 : 2,2013/2014
Тамбов,Локомотив М,2 : 3,2013/2014
Тамбов,Краснодар,0 : 2,2013/2014
Тамбов,ЦСКА,0 : 2,2013/2014
Тамбов,Ростов,2 : 1,2013/2014
Тамбов,Динамо М,0 : 2,2013/2014
Тамбов,Спартак М,2 : 0,2013/2014
Тамбов,Арсенал,0 : 1,2013/2014
Тамбов,Уфа,3 : 0,2013/2014
Тамбов,Рубин,0 : 0,2013/2014
Тамбов,Урал,1 : 2,2013/2014
Тамбов,Сочи,3 : 0,2013/2014
Тамбов,Ахмат,1 : 2,2013/2014
Тамбов,Крылья Советов,3 : 0,2013/2014
Тамбов,Оренбург,3 : 0,2013/2014
Крылья Советов,Зенит,0 : 2,2013/2014
Крылья Советов,Локомотив М,1 : 2,2013/2014
Крылья Советов,Краснодар,0 : 0,2013/2014
Крылья Советов,ЦСКА,2 : 0,2013/2014
Крылья Советов,Ростов,0 : 0,2013/2014
Крылья Советов,Динамо М,0 : 0,2013/2014
Крылья Советов,Спартак М,1 : 2,2013/2014
Крылья Советов,Арсенал,2 : 3,2013/2014
Крылья Советов,Уфа,0 : 1,2013/2014
Крылья Советов,Рубин,0 : 0,2013/2014
Крылья Советов,Урал,2 : 3,2013/2014
Крылья Советов,Сочи,3 : 0,2013/2014
Крылья Советов,Ахмат,2 : 4,2013/2014
Крылья Советов,Тамбов,2 : 0,2013/2014
Крылья Советов,Оренбург,1 : 1,2013/2014
Оренбург,Зенит,0 : 2,2013/2014
Оренбург,Локомотив М,2 : 3,2013/2014
Оренбург,Краснодар,0 : 3,2013/2014
Оренбург,ЦСКА,0 : 4,2013/2014
Оренбург,Ростов,0 : 0,2013/2014
Оренбург,Динамо М,2 : 0,2013/2014
Оренбург,Спартак М,1 : 3,2013/2014
Оренбург,Арсенал,2 : 0,2013/2014
Оренбург,Уфа,0 : 0,2013/2014
Оренбург,Рубин,2 : 1,2013/2014
Оренбург,Урал,0 : 3,2013/2014
Оренбург,Сочи,1 : 1,2013/2014
Оренбург,Ахмат,1 : 2,2013/2014
Оренбург,Тамбов,2 : 2,2013/2014
Оренбург,Крылья Советов,0 : 1,2013/2014
Зенит,Локомотив М,0 : 0,2012/2013
Зенит,Краснодар,1 : 1,2012/2013
Зенит,ЦСКА,1 : 1,2012/2013
Зенит,Ростов,6 : 1,2012/2013
Зенит,Динамо М,3 : 0,2012/2013
Зенит,Спартак М,1 : 0,2012/2013
Зенит,Арсенал,3 : 1,2012/2013
Зенит,Уфа,0 : 0,2012/2013
Зенит,Рубин,5 : 0,2012/2013
Зенит,Урал,7 : 1,2012/2013
Зенит,Сочи,2 : 1,2012/2013
Зенит,Ахмат,0 : 0,2012/2013
Зенит,Тамбов,2 : 1,2012/2013
Зенит,Крылья Советов,2 : 1,2012/2013
Зенит,Оренбург,4 : 1,2012/2013
Локомотив М,Зенит,1 : 0,2012/2013
Локомотив М,Краснодар,1 : 1,2012/2013
Локомотив М,ЦСКА,2 : 1,2012/2013
Локомотив М,Ростов,1 : 2,2012/2013
Локомотив М,Динамо М,1 : 2,2012/2013
Локомотив М,Спартак М,0 : 3,2012/2013
Локомотив М,Арсенал,2 : 1,2012/2013
Локомотив М,Уфа,1 : 1,2012/2013
Локомотив М,Рубин,1 : 1,2012/2013
Локомотив М,Урал,4 : 0,2012/2013
Локомотив М,Сочи,0 : 0,2012/2013
Локомотив М,Ахмат,1 : 0,2012/2013
Локомотив М,Тамбов,2 : 1,2012/2013
Локомотив М,Крылья Советов,1 : 1,2012/2013
Локомотив М,Оренбург,1 : 0,2012/2013
Краснодар,Зенит,2 : 4,2012/2013
Краснодар,Локомотив М,1 : 1,2012/2013
Краснодар,ЦСКА,1 : 1,2012/2013
Краснодар,Ростов,2 : 2,2012/2013
Краснодар,Динамо М,0 : 2,2012/2013
Краснодар,Спартак М,2 : 1,2012/2013
Краснодар,Арсенал,2 : 0,2012/2013
Краснодар,Уфа,2 : 0,2012/2013
Краснодар,Рубин,1 : 0,2012/2013
Краснодар,Урал,3 : 0,2012/2013
Краснодар,Сочи,3 : 0,2012/2013
Краснодар,Ахмат,4 : 0,2012/2013
Краснодар,Тамбов,0 : 0,2012/2013
Краснодар,Крылья Советов,4 : 2,2012/2013
Краснодар,Оренбург,1 : 1,2012/2013
ЦСКА,Зенит,0 : 4,2012/2013
ЦСКА,Локомотив М,1 : 0,2012/2013
ЦСКА,Краснодар,3 : 2,2012/2013
ЦСКА,Ростов,1 : 3,2012/2013
ЦСКА,Динамо М,0 : 1,2012/2013
ЦСКА,Спартак М,2 : 0,2012/2013
ЦСКА,Арсенал,0 : 1,2012/2013
ЦСКА,Уфа,0 : 0,2012/2013
ЦСКА,Рубин,1 : 1,2012/2013
ЦСКА,Урал,1 : 1,2012/2013
ЦСКА,Сочи,0 : 0,2012/2013
ЦСКА,Ахмат,3 : 0,2012/2013
ЦСКА,Тамбов,2 : 0,2012/2013
ЦСКА,Крылья Советов,1 : 0,2012/2013
ЦСКА,Оренбург,2 : 1,2012/2013
Ростов,Зенит,1 : 2,2012/2013
Ростов,Локомотив М,1 : 3,2012/2013
Ростов,Краснодар,1 : 1,2012/2013
Ростов,ЦСКА,3 : 2,2012/2013
Ростов,Динамо М,3 : 0,2012/2013
Ростов,Спартак М,2 : 2,2012/2013
Ростов,Арсенал,2 : 1,2012/2013
Ростов,Уфа,1 : 2,2012/2013
Ростов,Рубин,2 : 1,2012/2013
Ростов,Урал,0 : 0,2012/2013
Ростов,Сочи,2 : 0,2012/2013
Ростов,Ахмат,2 : 1,2012/2013
Ростов,Тамбов,1 : 2,2012/2013
Ростов,Крылья Советов,1 : 0,2012/2013
Ростов,Оренбург,2 : 1,2012/2013
Динамо М,Зенит,0 : 2,2012/2013
Динамо М,Локомотив М,1 : 2,2012/2013
Динамо М,Краснодар,1 : 1,2012/2013
Динамо М,ЦСКА,0 : 0,2012/2013
Динамо М,Ростов,2 : 1,2012/2013
Динамо М,Спартак М,0 : 2,2012/2013
Динамо М,Арсенал,0 : 1,2012/2013
Динамо М,Уфа,0 : 0,2012/2013
Динамо М,Рубин,0 : 1,2012/2013
Динамо М,Урал,2 : 0,2012/2013
Динамо М,Сочи,2 : 3,2012/2013
Динамо М,Ахмат,1 : 1,2012/2013
Динамо М,Тамбов,1 : 0,2012/2013
Динамо М,Крылья Советов,2 : 0,2012/2013
Динамо М,Оренбург,0 : 1,2012/2013
Спартак М,Зенит,0 : 1,2012/2013
Спартак М,Локомотив М,1 : 1,2012/2013
